Vienna,48.198674,16.348388
Ankara,39.91987,32.85427
Ljubljana,46.063562,14.48854
Munich,48.152126,11.544467
Pristina,42.67272,21.16688
Sofia,42.685984,23.326714
Paris,48.858705,2.342865
San Marino,43.936245,12.447407
Dublin,53.340305,-6.293676
Kiev,50.469863,30.431971
Tirana,41.282045,19.799067
Milan,45.473702,9.170685
Amsterdam,52.37243,4.89973
Madrid,40.429913,-3.669245
Minsk,53.9,27.56667
Zagreb,45.806026,15.976218
Andorra la Vella,42.504294,1.518714
Bern,46.946416,7.396394
Chisinau,47.020682,28.854719
Moscow,55.741469,37.615561
Skopje,42.00122,21.42878
Luxembourg,49.6113,6.12941
Prague,50.06694,14.460249
Berlin,52.524932,13.407032
Stockholm,59.275254,18.035164
Athens,37.988579,23.728541
Istanbul,41.007107,28.972182
Krakow,50.052652,19.987345
Budapest,47.516581,19.092281
Frankfurt,50.041821,8.584764
Tallinn,59.401347,24.693912
Bratislava,48.165064,17.145673
Rome,41.878243,12.528091
Monaco,43.733783,7.418464
Vilnius,54.700902,25.251531
St. Petersburg,59.821127,30.388194
Barcelona,41.400347,2.159592
Lisbon,38.748243,-9.140093
Brussels,50.843183,4.371755
Belgrade,44.782449,20.46444
Copenhagen,55.704438,12.502119
Podgorica,42.44111,19.26361
Warsaw,52.237695,21.005427
Sarajevo,43.84864,18.35644
Oslo,59.974453,10.735045
London,51.509648,-0.099076
Naples,40.862838,14.237375
Bucharest,44.435842,26.085733
Riga,56.971149,24.142749
Helsinki,60.20787,24.99935
